State,Year,Production.Coal,Consumption.Commercial.Coal,Consumption.Commercial.Distillate Fuel Oil,Consumption.Commercial.Geothermal,Consumption.Commercial.Hydropower,Consumption.Commercial.Kerosene,Consumption.Commercial.Petroleum,Consumption.Commercial.Natural Gas,Consumption.Commercial.Solar,Consumption.Commercial.Wind,Consumption.Commercial.Wood,Consumption.Electric Power.Coal,Consumption.Electric Power.Distillate Fuel Oil,Consumption.Electric Power.Natural Gas,Consumption.Electric Power.Wood,Consumption.Industrial.Coal,Consumption.Industrial.Distillate Fuel Oil,Consumption.Industrial.Geothermal,Consumption.Industrial.Hydropower,Consumption.Industrial.Kerosene,Consumption.Industrial.Petroleum,Consumption.Industrial.Natural Gas,Consumption.Industrial.Other Petroleum Products,Consumption.Industrial.Solar,Consumption.Industrial.Wind,Consumption.Industrial.Wood,Consumption.Refinery.Coal,Consumption.Refinery.Distillate Fuel Oil,Consumption.Refinery.Natural Gas,Consumption.Residential.Coal,Consumption.Residential.Distillate Fuel Oil,Consumption.Residential.Geothermal,Consumption.Residential.Kerosene,Consumption.Residential.Petroleum,Consumption.Residential.Natural Gas,Consumption.Residential.Wood,Consumption.Transportation.Coal,Consumption.Transportation.Distillate Fuel Oil,Consumption.Transportation.Petroleum,Consumption.Transportation.Natural Gas,Expenditure.Commercial.Coal,Expenditure.Commercial.Distillate Fuel Oil,Expenditure.Commercial.Kerosene,Expenditure.Commercial.Petroleum,Expenditure.Commercial.Natural Gas,Expenditure.Electric Power.Coal,Expenditure.Electric Power.Distillate Fuel Oil,Expenditure.Electric Power.Natural Gas,Expenditure.Industrial.Coal,Expenditure.Industrial.Distillate Fuel Oil,Expenditure.Industrial.Kerosene,Expenditure.Industrial.Petroleum,Expenditure.Industrial.Natural Gas,Expenditure.Industrial.Other Petroleum Products,Expenditure.Residential.Coal,Expenditure.Residential.Distillate Fuel Oil,Expenditure.Residential.Kerosene,Expenditure.Residential.Petroleum,Expenditure.Residential.Natural Gas,Expenditure.Residential.Wood,Expenditure.Transportation.Coal,Expenditure.Transportation.Distillate Fuel Oil,Expenditure.Transportation.Petroleum,Expenditure.Transportation.Natural Gas,Price.Commercial.Coal,Price.Commercial.Distillate Fuel Oil,Price.Commercial.Kerosene,Price.Commercial.Petroleum,Price.Commercial.Natural Gas,Price.Electric Power.Coal,Price.Electric Power.Distillate Fuel Oil,Price.Electric Power.Natural Gas,Price.Industrial.Coal,Price.Industrial.Distillate Fuel Oil,Price.Industrial.Kerosene,Price.Industrial.Petroleum,Price.Industrial.Natural Gas,Price.Industrial.Other Petroleum Products,Price.Transportation.Coal,Price.Transportation.Distillate Fuel Oil,Price.Transportation.Petroleum,Price.Transportation.Natural Gas
Alaska,1960,11263,496,1562,0,0,0,5230,0,0,0,34,914,554,0,0,4980,5115,0,0,511,7415,1856,0,0,0,1840,0,0,0,714,5046,0,0,5137,176,1806,86,3077,27051,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,1961,11497,496,1646,0,0,0,5304,122,0,0,35,1127,696,0,0,9174,5698,0,0,185,7644,1934,0,0,0,2288,0,0,0,713,5316,0,52,5538,195,1823,42,3667,31804,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,1962,13588,593,1732,0,0,0,5251,19,0,0,32,1373,865,0,0,10696,5422,0,0,119,7822,3399,0,0,0,2511,0,0,0,854,5594,0,17,5729,556,1703,43,3799,34065,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,1963,13307,393,1868,0,0,0,5475,1632,0,0,31,1482,959,975,0,9545,5996,0,0,129,10434,2225,1639,0,0,2700,0,0,0,543,6034,0,35,6240,693,1651,36,3339,32309,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,1964,11622,306,2020,0,0,0,7242,1944,0,0,32,2279,1460,1614,0,8989,7043,0,0,0,10440,2192,1641,0,0,2993,0,0,0,423,6523,0,47,6756,1055,1703,33,3395,32213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,1965,13931,280,2001,0,0,0,8202,2293,0,0,30,2690,1794,2170,0,6526,7211,0,0,0,10612,1755,1702,0,0,3234,0,0,0,371,6463,0,57,6717,1451,1600,21,4598,34357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,1966,14461,353,2177,0,0,0,8013,2562,0,0,30,2710,1757,3856,0,12860,7999,0,0,0,12395,4070,1677,0,0,3440,0,0,0,468,7031,0,46,7272,1794,1565,38,4842,36195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,1967,14430,322,2354,0,0,0,9436,2722,0,0,27,2335,2010,4481,0,15341,8969,0,0,0,13193,2728,1606,0,0,3216,0,0,0,427,7605,0,40,7873,1958,1428,37,5001,43825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,1968,11700,270,2574,0,0,0,7935,4737,0,0,27,2564,2305,5697,0,12791,10352,0,0,6,14392,4898,1655,0,0,3268,0,0,0,344,8315,0,45,8601,2304,1410,28,5441,47150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,1969,10405,261,2417,0,0,0,8769,11073,0,0,25,2781,2468,6730,0,9800,10829,0,0,6,16255,20541,3183,0,0,3526,0,0,0,333,7808,0,34,8020,4596,1342,16,4738,56501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
